game_id,date,home_team_code,away_team_code,home_team_name,away_team_name,home_score,away_score,arena,city,season,status
13892,2023-03-13T23:30:00.000Z,DAL,MEM,Dallas Mavericks,Memphis Grizzlies,88.0,104.0,,,2022,Finished
13893,2023-03-14T00:00:00.000Z,HOU,BOS,Houston Rockets,Boston Celtics,111.0,109.0,,,2022,Finished
13894,2023-03-14T02:00:00.000Z,GSW,PHX,Golden State Warriors,Phoenix Suns,123.0,112.0,,,2022,Finished
13895,2023-03-14T02:00:00.000Z,SAC,MIL,Sacramento Kings,Milwaukee Bucks,124.0,133.0,,,2022,Finished
13896,2023-03-14T23:00:00.000Z,CHA,CLE,Charlotte Hornets,Cleveland Cavaliers,104.0,120.0,,,2022,Finished
13897,2023-03-14T23:00:00.000Z,WAS,DET,Washington Wizards,Detroit Pistons,117.0,97.0,,,2022,Finished
13898,2023-03-14T23:30:00.000Z,TOR,DEN,Toronto Raptors,Denver Nuggets,125.0,110.0,,,2022,Finished
13899,2023-03-15T00:00:00.000Z,NOP,LAL,New Orleans Pelicans,Los Angeles Lakers,108.0,123.0,,,2022,Finished
13900,2023-03-15T00:00:00.000Z,OKC,BKN,Oklahoma City Thunder,Brooklyn Nets,121.0,107.0,,,2022,Finished
13901,2023-03-15T00:00:00.000Z,SAS,ORL,San Antonio Spurs,Orlando Magic,132.0,114.0,,,2022,Finished
13902,2023-03-15T02:00:00.000Z,PHX,MIL,Phoenix Suns,Milwaukee Bucks,104.0,116.0,,,2022,Finished
13903,2023-03-15T02:00:00.000Z,POR,NYK,Portland Trail Blazers,New York Knicks,107.0,123.0,,,2022,Finished
13904,2023-03-15T23:30:00.000Z,CLE,PHI,Cleveland Cavaliers,Philadelphia 76ers,109.0,118.0,,,2022,Finished
13905,2023-03-15T23:30:00.000Z,MIA,MEM,Miami Heat,Memphis Grizzlies,138.0,119.0,,,2022,Finished
13906,2023-03-16T00:00:00.000Z,CHI,SAC,Chicago Bulls,Sacramento Kings,114.0,117.0,,,2022,Finished
13907,2023-03-16T00:00:00.000Z,HOU,LAL,Houston Rockets,Los Angeles Lakers,114.0,110.0,,,2022,Finished
13908,2023-03-16T00:00:00.000Z,MIN,BOS,Minnesota Timberwolves,Boston Celtics,102.0,104.0,,,2022,Finished
13909,2023-03-16T00:30:00.000Z,SAS,DAL,San Antonio Spurs,Dallas Mavericks,128.0,137.0,,,2022,Finished
13910,2023-03-16T02:00:00.000Z,LAC,GSW,LA Clippers,Golden State Warriors,134.0,126.0,,,2022,Finished
13911,2023-03-16T23:00:00.000Z,DET,DEN,Detroit Pistons,Denver Nuggets,100.0,119.0,Little Caesars Arena,Detroit,2022,Finished
13912,2023-03-16T23:30:00.000Z,BKN,SAC,Brooklyn Nets,Sacramento Kings,96.0,101.0,Barclays Center,Brooklyn,2022,Finished
13913,2023-03-16T23:30:00.000Z,TOR,OKC,Toronto Raptors,Oklahoma City Thunder,128.0,111.0,Scotiabank Arena,Toronto,2022,Finished
13914,2023-03-17T00:00:00.000Z,MIL,IND,Milwaukee Bucks,Indiana Pacers,123.0,139.0,Fiserv Forum,Milwaukee,2022,Finished
13915,2023-03-17T02:00:00.000Z,PHX,ORL,Phoenix Suns,Orlando Magic,116.0,113.0,Footprint Center,Phoenix,2022,Finished
13916,2023-03-17T23:00:00.000Z,CHA,PHI,Charlotte Hornets,Philadelphia 76ers,82.0,121.0,Spectrum Center,Charlotte,2022,Finished
13917,2023-03-17T23:30:00.000Z,ATL,GSW,Atlanta Hawks,Golden State Warriors,127.0,119.0,State Farm Arena,Atlanta,2022,Finished
13918,2023-03-17T23:30:00.000Z,CLE,WAS,Cleveland Cavaliers,Washington Wizards,117.0,94.0,Rocket Mortgage FieldHouse,Cleveland,2022,Finished
13919,2023-03-18T00:00:00.000Z,CHI,MIN,Chicago Bulls,Minnesota Timberwolves,139.0,131.0,United Center,Chicago,2022,Finished
13920,2023-03-18T00:00:00.000Z,HOU,NOP,Houston Rockets,New Orleans Pelicans,114.0,112.0,Toyota Center (Houston),Houston,2022,Finished
13921,2023-03-18T00:00:00.000Z,SAS,MEM,San Antonio Spurs,Memphis Grizzlies,120.0,126.0,AT&T Center,San Antonio,2022,Finished
13922,2023-03-18T02:00:00.000Z,POR,BOS,Portland Trail Blazers,Boston Celtics,112.0,126.0,Moda Center,Portland,2022,Finished
13923,2023-03-18T02:30:00.000Z,LAL,DAL,Los Angeles Lakers,Dallas Mavericks,110.0,111.0,crypto.com Arena,Los Angeles,2022,Finished
13924,2023-03-18T17:00:00.000Z,NYK,DEN,New York Knicks,Denver Nuggets,116.0,110.0,Madison Square Garden,New York,2022,Finished
13925,2023-03-18T19:00:00.000Z,LAC,ORL,LA Clippers,Orlando Magic,108.0,113.0,crypto.com Arena,Los Angeles,2022,Finished
13926,2023-03-18T23:00:00.000Z,IND,PHI,Indiana Pacers,Philadelphia 76ers,121.0,141.0,Gainbridge Fieldhouse,Indianapolis,2022,Finished
13927,2023-03-18T23:00:00.000Z,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,122.0,107.0,Scotiabank Arena,Toronto,2022,Finished
12112,2023-03-19T19:30:00.000Z,BKN,DEN,Brooklyn Nets,Denver Nuggets,102.0,108.0,Barclays Center,Brooklyn,2022,Finished
12113,2023-03-19T19:30:00.000Z,OKC,PHX,Oklahoma City Thunder,Phoenix Suns,124.0,120.0,Paycom Center,Oklahoma City,2022,Finished
12114,2023-03-19T20:00:00.000Z,SAS,ATL,San Antonio Spurs,Atlanta Hawks,126.0,118.0,AT&T Center,San Antonio,2022,Finished
12115,2023-03-19T22:00:00.000Z,DET,MIA,Detroit Pistons,Miami Heat,100.0,112.0,Little Caesars Arena,Detroit,2022,Finished
12116,2023-03-19T23:00:00.000Z,HOU,NOP,Houston Rockets,New Orleans Pelicans,107.0,117.0,Toyota Center (Houston),Houston,2022,Finished
13928,2023-03-19T00:00:00.000Z,WAS,SAC,Washington Wizards,Sacramento Kings,118.0,132.0,Capital One Arena,Washington,2022,Finished
13929,2023-03-19T00:00:00.000Z,CHI,MIA,Chicago Bulls,Miami Heat,113.0,99.0,United Center,Chicago,2022,Finished
13930,2023-03-19T00:00:00.000Z,MEM,GSW,Memphis Grizzlies,Golden State Warriors,133.0,119.0,FedExForum,Memphis,2022,Finished
13931,2023-03-19T01:00:00.000Z,UTA,BOS,Utah Jazz,Boston Celtics,118.0,117.0,Vivint Arena,Salt Lake City,2022,Finished
12117,2023-03-20T00:00:00.000Z,MIL,TOR,Milwaukee Bucks,Toronto Raptors,118.0,111.0,Fiserv Forum,Milwaukee,2022,Finished
12118,2023-03-20T01:00:00.000Z,POR,LAC,Portland Trail Blazers,LA Clippers,102.0,117.0,Moda Center,Portland,2022,Finished
12119,2023-03-20T01:30:00.000Z,LAL,ORL,Los Angeles Lakers,Orlando Magic,111.0,105.0,crypto.com Arena,Los Angeles,2022,Finished
12120,2023-03-20T23:00:00.000Z,CHA,IND,Charlotte Hornets,Indiana Pacers,115.0,109.0,Spectrum Center,Charlotte,2022,Finished
